PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Seth Williams,JAC,3.7,47,0.2,0,0,0,0,6.1
Easop Winston Jr.,SEA,3.5,46,0.2,0,1.9,0,0,6
Jacob Harris,JAC,3.7,46.1,0.2,0,0,0,0,6
Bryce Ford-Wheaton,NYG,0,58.4,0,0.2,1.5,0,0,6
KeeSean Johnson,BUF,3.6,41,0.3,0,0,0,0,6
Jaelon Darden,CLE,2.3,43.9,0.2,0,2.8,0,0,5.7
Brandon Johnson,DEN,3.4,42.3,0.2,0,0.8,0,0,5.6
Bo Melton,GB,3.1,37.3,0.2,0,2.4,0,0,5.3
Austin Trammell,LAR,3.3,42,0.2,0,0,0,0,5.2
Danny Gray,SF,1.5,46.7,0.1,0.3,1.9,0,0.1,5.2
Trent Taylor,CIN,2.3,32.2,0.2,0,5.8,0,0,5.1
C.J. Saunders,CAR,3.4,40.1,0.2,0,0,0,0,5.1
Dax Milne,WAS,3.4,38,0.2,0,2.2,0,0,5.1
Cam Sims,LV,3.4,44.8,0.1,0.1,0.3,0,0,5
Dez Fitzpatrick,PIT,3.3,39.8,0.2,0,0,0,0,5
Cody White,PIT,3.3,39.4,0.2,0,0,0,0,5
Keke Coutee,MIA,3.4,39,0.2,0,0,0,0,4.9
Keelan Cole Sr.,LV,3.3,38.8,0.2,0,0,0,0,4.9
Mason Kinsey,TEN,3.1,38.5,0.2,0,0,0,0,4.9
Michael Woods II,CLE,3.1,38.2,0.2,0,0,0,0,4.8
Racey McMath,TEN,3,37.8,0.2,0,0,0,0,4.8
Derius Davis,LAC,0,46.6,0,0.2,1.2,0,0,4.8
Malik Turner,IND,2.9,37.1,0.2,0,0,0,0,4.7
N'Keal Harry,MIN,0,46.1,0,0.4,3,0,0.1,4.7
Tim Jones,JAC,2.5,36.2,0.2,0,0.7,0,0,4.6
Tylan Wallace,BAL,3,39.8,0.1,0.2,1,0,0,4.6
Mike Strachan,IND,2.9,35.6,0.2,0,0,0,0,4.6
Vyncint Smith,IND,2.9,35.6,0.2,0,0,0,0,4.6
Chris Conley,SF,3,34.9,0.2,0,0,0,0,4.6
Jalen Camp,HOU,2.1,32.4,0.1,0,3.4,0,0,4.5
Frank Darby,ATL,1.8,35,0.2,0,0.6,0,0,4.5
James Proche II,BAL,2.1,37,0.1,0,0.8,0,0,4.4
Erik Ezukanma,MIA,3.6,38,0.1,0.1,0.8,0,0,4.4
Josh Ali,ATL,2.8,32.7,0.2,0,0,0,0,4.3
Greg Ward,PHI,2.7,32.2,0.2,0,0.2,0,0,4.2
Keith Kirkwood,NO,2.4,30.2,0.1,0,0.1,0,0,3.9
Daurice Fountain,CHI,2.4,28.7,0.2,0,0,0,0,3.9
Nsimba Webster,CHI,2.4,28.5,0.2,0,0,0,0,3.9
James Washington,NO,2.2,29.2,0.2,0,0.1,0,0,3.8
Anthony Schwartz,CLE,3,27.6,0.1,0.4,3.7,0.1,0.1,3.7
Kendric Pryor,JAC,0,34.9,0,0.1,0.9,0,0,3.6
Miles Boykin,PIT,1.6,28.8,0.1,0,0.3,0,0,3.5
Ty Scott,KC,2,22.2,0.2,0,0.9,0,0,3.3
Alex Erickson,NYJ,2.1,24.9,0.1,0,0.2,0,0,3.3
Kawaan Baker,NO,1.7,20,0.2,0,0,0,0,2.9
David Sills V,NYG,0,22.4,0,0.2,1,0,0,2.3
Breshad Perriman,IND,1.1,16.3,0.1,0,0.7,0,0,2.2
Jason Brownlee,NYJ,0.8,9.7,0.1,0,0.4,0,0,1.5
Kirk Merritt,NO,0.7,5.5,0,0,4.5,0,0,1.4
Rakim Jarrett,TB,0.7,7.7,0,0,0.6,0,0,1.1
Taylor Grimes,DEN,0.3,4.8,0,0,0.3,0,0,0.6
