PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Jakeem Grant,MIA,0,0.2,0,7,91.4,0.5,0.2,11.8
Tre McBride,TEN,0.5,2,0,6.2,81.3,0.6,0.1,11.5
Trevor Davis,GB,0,0,0,5.8,73.0,0.7,0.2,11
Brenton Bersin,CAR,0,0.2,0,7.2,95.0,0.3,0.3,10.9
Jonathan Krause,TEN,0,0,0,6.3,80.8,0.4,0,10.5
Lucky Whitehead,NYJ,0,0,0,6,72.0,0.5,0,10.2
Javontee Herndon,DAL,0,0,0,6.1,71.8,0.5,0,10.1
Freddie Martino,TB,0,0,0,4.9,73.6,0.5,0.1,10.1
Seantavius Jones,KC,0,0,0,5.8,72.8,0.5,0,10
DeAngelo Yancey,GB,0,0,0,6,68.0,0.5,0,9.8
Ryan Switzer,DAL,1,4,0,7.3,86.7,0.1,0,9.7
Isaiah Burse,LAC,0,0,0,5.6,73.6,0.4,0.1,9.6
Damiere Byrd,CAR,0,0,0,5.3,73.8,0.4,0,9.5
Kasen Williams,SEA,0.1,-0.4,0,5.2,66.8,0.5,0,9.4
Corey Fuller,NO,0,0,0,5.3,68.7,0.5,0.3,9.4
Bryce Treggs,PHI,0.1,0,0.4,4,55.3,0.3,0.1,9.4
Jeff Janis,GB,0.1,1,0,5.7,75.0,0.3,0.1,9.3
Nick Williams,MIA,0,0,0,6,74.0,0.3,0.1,9.3
Quan Bray,IND,0.1,0.5,0,5.8,73.7,0.3,0,9.2
Darius Jennings,TEN,0,0,0,6,71.5,0.3,0,9.1
Kevin Norwood,NYG,0,-0.1,0,5.5,70.6,0.3,0,9
Jake Lampman,NO,0,0,0,5.1,65.0,0.4,0.1,8.9
Rashad Greene,JAC,0,0,0,7.2,82.9,0.1,0,8.8
Neal Sterling,JAC,0,0,0,6.2,68.2,0.3,0,8.8
Arrelious Benn,JAC,0,0,0,3,60.4,0.5,0.1,8.7
David Moore,SEA,0,0,0,5,63.0,0.4,0,8.7
Robert Davis,WAS,0,0,0,5,70.0,0.3,0.1,8.6
Tevaun Smith,IND,0,0,0,5,61.0,0.4,0,8.5
Donteea Dye,TB,0,0,0,5.5,66.3,0.3,0,8.4
Moritz Boehringer,MIN,2,15,0,4,52.0,0.3,0.1,8.3
Paul Turner,PHI,0,0,0,5.9,77.7,0.1,0.1,8.2
Kalif Raymond,DEN,0,0,0,5,65.5,0.3,0,8.2
De'Anthony Thomas,KC,2.7,11.5,0,5.6,58.0,0.2,0.1,8.2
Josh Huff,TB,0.2,0.3,0,5.6,60.2,0.4,0.1,8.1
Amara Darboh,SEA,0,0,0,5.5,68.5,0.2,0,8.1
Aaron Dobson,ARI,0,0,0,5.6,66.5,0.3,0.1,8
Maurice Harris,WAS,0,0,0,6.8,73.9,0.1,0.1,8
Isaac Fruechte,MIN,0,0,0,5,64.8,0.3,0,8
Demarcus Ayers,PIT,0.2,1.7,0,4.1,51.4,0.4,0,7.9
Walter Powell,BUF,0,0,0,6.1,68.4,0.3,0.4,7.9
Chris Harper,NYJ,0,0,0,6.3,71.1,0.2,0.3,7.9
Josh Malone,CIN,0,0,0,4,59.0,0.3,0,7.7
Daniel Braverman,CHI,0,0,0,4.9,62.0,0.3,0.1,7.7
Dwayne Harris,NYG,0,0,0,4.7,61.0,0.3,0.2,7.7
Quinton Patton,NYJ,0.2,1.7,0,5.9,52.7,0.4,0,7.7
Tommylee Lewis,NO,0.1,0.3,0,5.4,63.6,0.2,0.1,7.6
Rashad Ross,BUF,0,0,0,6,70.3,0.1,0,7.6
Wendall Williams,HOU,0,0,0,5,65.3,0.2,0,7.5
Rodney Adams,MIN,0,0,0,5,56.0,0.3,0,7.4
Stacy Coley,MIN,0,0,0,5,56.0,0.3,0,7.4
Jace Billingsley,DET,0,0,0,6,73.0,0,0,7.3
Noah Brown,DAL,0,0,0,4,55.0,0.3,0,7.3
Isaiah McKenzie,DEN,0,0,0,4,57.0,0.3,0.1,7.3
Shane Wynn,JAC,0.2,0.7,0,4.3,53.6,0.3,0.1,7.3
Shelton Gibson,PHI,0,0,0,5,54.0,0.3,0,7.2
Jeremy Ross,ARI,0.2,0.6,0,5,57.9,0.2,0,6.9
Jehu Chesson,KC,0,0,0,5,64.3,0.1,0.1,6.8
Trent Taylor,SF,0,0,0,5,58.5,0.2,0.1,6.6
Frankie Hammond,NYJ,0,0,0,4.9,57.1,0.3,0.4,6.4
Tavarres King,NYG,0,0,0,4.3,56.4,0.1,0,6.2
Dezmin Lewis,BUF,0,0,0,4,49.0,0.2,0,6.2
Paul McRoberts,LAR,0,0,0,5.4,51.8,0.1,0,5.5
Aaron Burbridge,SF,0,0,0,4.6,57.1,0.1,0.3,5.5
Geremy Davis,LAC,0,0,0,5,44.4,0.1,0,5
Johnny Holton,OAK,0.6,2.8,0,3.3,44.4,0.1,0.6,4.3
Matt Slater,NE,0.2,0.4,0,1.5,18.2,0.4,0,4.3
Jeremy Butler,BUF,0,0,0,3.5,40.5,0.1,0.1,4.2
Byron Marshall,PHI,0,0,0,2,13.0,0,0.1,1.1
Bruce Ellington,HOU,0,0,0,0,0.0,0,0,0
